East Error,North Error,Up Error,Horizontal Error,3D Error
29.920890270198885,1.182162939729526,10.054071443711923,29.944234566563097,31.587046971387114
29.952697702814255,1.2506906421632435,10.14345106978892,29.978797953863477,31.64834792471435
30.002645232610895,1.2618543330264809,10.012727927992849,30.02916910791384,31.6544738997775
29.953135322121607,1.2320647135476757,10.058104094892904,29.978463921350247,31.620780462654615
29.912697987968045,1.219265443965812,9.937901786966307,29.937536791497003,31.543905926020397
29.905139931048428,1.2495254592768539,9.881221957935947,29.931232987783314,31.520108749034538
29.948418950486808,1.2949132912076473,9.89697282929934,29.97640068563308,31.567937361340427
22.13940776282972,15.11650531337555,93.68052123342031,26.80787401078564,97.44076235099698
22.07796262109917,15.247168678101849,94.33574726259937,26.83118682051061,98.07724403647447
22.223946688279977,15.219918527314169,94.60055619750696,26.936030263971556,98.36063724508531
22.178854153470834,15.628094944461377,95.96698602331365,27.131880199389606,99.72863846234395
29.90920302863008,2.682231677847317,17.86300694337798,30.029232300900773,34.94054678508383
30.212741681955684,2.189309879008004,9.362915448914864,30.291959951229707,31.705946183491086
31.301392678906687,1.8706346263053018,9.01342451320127,31.35723931637231,32.62695632447843
31.874528855720136,3.97709462801716,19.786763230664086,32.12168849008935,37.726898502271546
29.866618295772717,4.2697471437347625,25.422733046698035,30.17027724593887,39.45327596867577
31.065193857833208,2.2230422672653845,14.844117569427624,31.144633347445374,34.50124653924545
31.7482690906733,2.0160104724019368,6.620690809996432,31.812212882455,32.493852269009395
30.45452939031617,1.4473477569457591,3.8519745180221463,30.48890250427469,30.731268825134105
30.12149865257872,2.2993334986458587,7.908050113802018,30.209131328379776,31.227053530836056
30.394554238513905,1.6534828209653476,7.814216444978653,30.439496263854156,31.426500146312282
30.51582076942249,1.6230347601279207,8.134481190305879,30.558952191855344,31.623082444624853
30.004479246583937,1.6426256834974788,9.612441045469321,30.049409212075563,31.549421814787593
30.001156084991894,1.6732595811510658,10.202561968092386,30.04778135007575,31.73265565272981
31.071752509837662,1.2367154262396216,14.694354699317348,31.09635459468042,34.393419851876494
32.6069981356787,0.8900646443948754,14.642079820530368,32.619143803775046,35.754706598742196
31.75439452448352,0.5482338082056408,15.81181124377535,31.75912675003846,35.47753524039951
