X,Y,Z,Latitude,Longitude,Altitude
-2418236.281254359,5385756.729693157,2405769.9070007685,22.30564842276496,114.18035924405746,27.102758176624775
-2418236.341688578,5385756.796173301,2405770.0068245027,22.30564896405924,114.18035951483427,27.219657295383513
-2418236.3129792996,5385756.663118791,2405769.957037216,22.305649004436034,114.18035978958392,27.0775832189247
-2418236.2633404075,5385756.735910506,2405769.9393990897,22.30564869915766,114.18035906074115,27.113513631746173
-2418236.156488996,5385756.6615552185,2405769.8744350905,22.305648538902425,114.18035841031666,26.985608560033143
-2418236.1001102626,5385756.600435989,2405769.8677181387,22.305648753044174,114.18035815413391,26.910109344869852
-2418236.12470467,5385756.576886804,2405769.9137879056,22.30564917705398,114.18035846549404,26.917039833031595
-2418258.5755820437,5385825.699932411,2405814.504267358,22.30577406764431,114.18028245249926,110.68897476606071
-2418258.6998188323,5385826.208968902,2405814.8661427996,22.305775324947444,114.18028152889124,111.3030307488516
-2418258.9267828604,5385826.396805849,2405814.934339249,22.305774988741856,114.18028279159827,111.57345865759999
-2418259.3501113886,5385827.492011074,2405815.81169761,22.305778300033875,114.18028218582187,112.99123452138156
-2418238.716557376,5385762.99031513,2405774.2142837388,22.305661414632574,114.18035591734287,34.94441288895905
-2418235.8894006885,5385755.975292664,2405770.6611587857,22.3056576326402,114.18035877373042,26.60378734767437
-2418236.980534281,5385755.5636402955,2405770.2398809027,22.305653868186177,114.18037007048076,26.509954751469195
-2418241.4507657704,5385763.857302996,2405776.082911716,22.305670477101316,114.18037667805314,37.42153849452734
-2418241.776438363,5385769.565582658,2405778.2437832295,22.305670224928413,114.1803568695128,43.18288617860526
-2418239.2600720813,5385760.965564601,2405771.6233428963,22.30564533568054,114.18036877823737,32.458112576045096
-2418236.697850236,5385754.031496275,2405767.8905228297,22.305639427256878,114.18037365842244,24.218009378761053
-2418234.216497402,5385752.54723104,2405766.069152852,22.305632334697528,114.18035759016524,21.333662149496377
-2418234.745722306,5385756.098467741,2405768.099259283,22.30563744890173,114.18034815854816,25.301976294256747
-2418234.3134690947,5385756.39284918,2405767.1150218,22.30562891214182,114.18034316136153,25.013062586076558
-2418233.998196998,5385757.093722555,2405767.0235077385,22.30562639869117,114.18033758395399,25.450389268808067
-2418233.4874624256,5385758.984285545,2405767.4725884916,22.30562495632298,114.18032554670354,27.022921070456505
-2418233.055500599,5385759.81920089,2405767.6165089686,22.30562415459491,114.1803184033389,27.618516945280135
-2418235.26314193,5385763.741690338,2405768.8665785156,22.305619234476495,114.1803223557393,32.240159762091935
-2418236.148568496,5385763.672944435,2405768.32942602,22.3056137185179,114.18033046811664,32.31380480155349
-2418235.2018966675,5385765.414488531,2405768.05794208,22.30560733393975,114.18031516371393,33.321874420158565
-2418236.9832860734,5385768.342524958,2405769.3732048036,22.305606666398297,114.1803192955057,36.96741182729602
-2418236.7141620335,5385764.729105787,2405766.1361933835,22.305591297957168,114.18033127707143,32.587106792256236
-2418240.0048399307,5385768.994616601,2405769.0760941054,22.305597903036766,114.18034345447988,38.55005657393485
-2418239.850565066,5385768.824844666,2405767.5651005832,22.305586026379256,114.18034276350012,37.77481303550303
