version,nPorts,mem,alloc,outputPort,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04,portId_05,txPending_05,txBytes_05,txUsage_05,txPeakUsage_05,rxPending_05,rxBytes_05,rxUsage_05,rxPeakUsage_05,overrunErrs_05,msgs_05_01,msgs_05_02,msgs_05_03,msgs_05_04,reserved1_05,skipped_05
0,5,0,0,0,0,0,1,5,6,256,0,255399,12,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2122649,0,4,0,1651908,4,7,0,7812,0,0,0,0,174,768,0,960549,21,69,0,16,0,0,0,2,0,0,0,0,0,257,0,1639508,9,10,0,1513025,3,6,0,8468,0,0,0,0,0,513,0,253607,17,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,257025,12,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2130763,0,4,0,1659227,4,7,0,7848,0,0,0,0,174,768,0,970909,21,69,0,16,0,0,0,2,0,0,0,0,0,257,0,1646828,9,10,0,1521139,3,6,0,8514,0,0,0,0,0,513,0,255233,17,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,258651,12,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2138669,0,4,0,1665758,5,7,0,7875,0,0,0,0,174,768,0,980461,21,69,0,16,0,0,0,2,0,0,0,0,0,257,2772,1651132,9,10,0,1529045,3,6,0,8559,0,0,0,0,0,513,0,256859,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,260277,12,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2146807,0,4,0,1673560,5,7,0,7915,0,0,0,0,174,768,0,990757,20,69,0,16,0,0,0,2,0,0,0,0,0,257,0,1661048,9,10,0,1537183,3,6,0,8605,0,0,0,0,0,513,0,258485,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,261915,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2154793,0,4,0,1680091,4,7,0,7942,0,0,0,0,174,768,0,1000121,21,69,0,16,0,0,0,2,0,0,0,0,0,257,0,1667612,9,10,0,1545169,3,6,0,8652,0,0,0,0,0,513,0,260123,17,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,263553,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2162723,0,4,0,1687268,4,7,0,7977,0,0,0,0,174,768,0,1009861,20,69,0,16,0,0,0,2,0,0,0,0,0,257,2260,1672588,9,10,0,1553099,3,6,0,8698,0,0,0,0,0,513,0,261761,17,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,265173,12,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2170667,0,4,0,1693924,5,7,0,8004,0,0,0,0,174,768,0,1019191,21,69,0,16,0,0,0,2,0,0,0,0,0,257,0,1681412,9,10,0,1561043,3,6,0,8744,0,0,0,0,0,513,0,263381,17,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,266824,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2178962,0,4,0,1700966,4,7,0,8039,0,0,0,0,174,768,0,1034360,21,69,0,248,0,0,0,17,0,0,0,0,0,257,3284,1685364,9,10,0,1569338,3,6,0,8792,0,0,0,0,0,513,0,265032,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,268475,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2186905,0,4,0,1707520,4,7,0,8066,0,0,0,0,174,768,0,1047520,22,69,0,408,0,0,0,27,0,0,0,0,0,257,2772,1692952,9,10,0,1577281,5,6,0,8838,0,0,0,0,0,513,0,266683,18,18,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,5,6,256,0,270126,13,13,0,0,0,0,0,0,0,0,0,0,0,512,0,2194936,0,4,0,1715965,4,7,0,8112,0,0,0,0,174,768,0,1058353,21,69,0,408,0,0,0,27,0,0,0,0,0,257,0,1703372,9,10,0,1585312,4,6,0,8884,0,0,0,0,0,513,0,268334,18,18,0,0,0,0,0,0,0,0,0,0,0
