version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,91586000,-241821473.89,538576924.2,240575222.5,0,4390.5
0,0,91587000,-241821578.46,538576889.24,240575309.35,0,4352.2
0,0,91588000,-241821667.3,538576838.35,240575388.86,0,4340.8
0,0,91589000,-241821756.92,538576779.13,240575465.5,0,4326.900000000001
0,0,91590000,-241821861.45,538576729.55,240575538.59,0,4303.0
0,0,91591000,-241821944.13,538576670.63,240575598.09,0,4276.400000000001
0,0,91592000,-241822009.38,538576580.24,240575644.57,0,4253.900000000001
0,0,91593000,-241822084.05,538576495.52,240575701.58,0,4240.900000000001
0,0,91594000,-241822157.51,538576423.71,240575758.52,0,4233.5
0,0,91595000,-241822219.04,538576350.7,240575815.08,0,4226.0
0,0,91596000,-241822292.4,538576282.49,240575878.23,0,4222.400000000001
0,0,91597000,-241822370.1,538576207.33,240575933.48,0,4223.400000000001
0,0,91598000,-241822428.15,538576105.67,240575980.61,0,4219.8
0,0,91599000,-241822509.5,538576047.32,240576041.19,0,4213.900000000001
0,0,91600000,-241822587.9,538575986.67,240576103.14,0,4214.900000000001
0,0,91601000,-241822657.03,538575908.2,240576155.53,0,4214.6
0,0,91602000,-241822737.29,538575843.54,240576214.54,0,4224.0
0,0,91603000,-241822820.42,538575779.37,240576272.51,0,4231.0
0,0,91604000,-241822890.79,538575711.79,240576333.56,0,4247.6
0,0,91605000,-241822963.01,538575661.27,240576408.51,0,4255.0
0,0,91606000,-241823033.3,538575592.31,240576465.61,0,4255.7
0,0,91607000,-241823119.91,538575534.89,240576520.35,0,4261.900000000001
0,0,91608000,-241823196.3,538575472.42,240576580.89,0,4279.3
0,0,91609000,-241823286.06,538575430.99,240576655.27,0,4279.3
0,0,91610000,-241823359.79,538575379.5,240576723.44,0,4252.8
0,0,91611000,-241823416.58,538575326.79,240576799.05,0,4241.0
0,0,91612000,-241823453.38,538575280.62,240576887.0,0,4223.2
0,0,91613000,-241823469.24,538575226.22,240576971.44,0,4192.400000000001
0,0,91614000,-241823490.98,538575195.4,240577074.49,0,4166.900000000001
0,0,91615000,-241823482.13,538575115.15,240577165.96,0,4181.6
0,0,91616000,-241823453.94,538575018.18,240577240.01,0,4165.0
0,0,91617000,-241823431.11,538574935.48,240577324.51,0,4117.0
0,0,91618000,-241823394.75,538574893.12,240577417.61,0,4075.9
0,0,91619000,-241823368.52,538574861.73,240577523.34,0,4037.9
0,0,91620000,-241823328.97,538574819.56,240577617.27,0,4006.8
0,0,91621000,-241823294.59,538574816.68,240577719.03,0,3972.6
0,0,91622000,-241823334.5,538574779.88,240577815.99,0,4327.400000000001
0,0,91623000,-241823346.0,538574751.35,240577913.63,0,5147.0
0,0,91624000,-241823267.38,538574702.28,240578008.51,0,5341.200000000001
0,0,91625000,-241823204.08,538574665.87,240578131.23,0,5207.400000000001
0,0,91626000,-241823115.82,538574634.64,240578242.46,0,5091.0
0,0,91627000,-241823006.75,538574599.41,240578309.59,0,4952.5
0,0,91628000,-241822902.22,538574588.6,240578374.67,0,4836.900000000001
0,0,91629000,-241822805.43,538574601.73,240578438.93,0,4757.2
0,0,91630000,-241822712.91,538574609.19,240578498.26,0,4769.6
0,0,91631000,-241822605.99,538574570.96,240578536.35,0,4748.5
0,0,91632000,-241822502.63,538574692.17,240578616.41,0,4711.5
