version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,91562000,6550,9699,28207,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91563000,6486,9389,27358,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91564000,6619,9344,27345,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91565000,7055,9416,27637,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91566000,7183,9311,27481,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91567000,7185,9216,27387,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91568000,7103,9121,27253,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91569000,6784,8801,26442,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91570000,6655,8726,26369,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91571000,6632,8783,26647,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91572000,6627,8876,27025,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91573000,6457,8747,26657,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91574000,6393,8731,26637,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91575000,6240,8601,26316,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91576000,6166,8560,26263,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91577000,6016,8419,25887,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91578000,5859,8283,25487,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91579000,5766,8232,25476,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91580000,5793,8325,25695,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91581000,5644,8147,25069,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91582000,5495,7981,24613,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91583000,5449,7959,24501,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91584000,5295,7766,23889,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91585000,5261,7735,23793,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91586000,5170,7628,23423,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91587000,5041,7453,22817,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91588000,5028,7455,22841,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91589000,5015,7450,22847,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91590000,4850,7202,22108,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91591000,4789,7096,21821,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91592000,4782,7070,21780,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91593000,4773,7053,21787,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91594000,4719,6979,21600,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91595000,4724,6997,21684,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91596000,4620,6841,21244,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91597000,4528,6709,20888,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91598000,4525,6711,20935,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91599000,4386,6505,20335,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91600000,4429,6568,20618,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91601000,4336,6425,20265,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91602000,4292,6365,20169,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91603000,4245,6305,20059,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91604000,4242,6324,20201,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91605000,4113,6144,19680,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91606000,4117,6140,19739,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91607000,4083,6088,19618,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91608000,4059,6056,19546,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91609000,4030,6014,19387,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91610000,3925,5846,18756,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91611000,3931,5847,18687,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91612000,3910,5803,18442,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91613000,3890,5773,18128,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91614000,3819,5671,17558,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91615000,3872,5776,17572,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91616000,3931,5878,17430,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91617000,3896,5796,16905,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91618000,3891,5747,16557,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91619000,3881,5711,16222,0,0,0,0,0,0,0
