iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
91697000,3,1,1,1,1,0,1,0,0,1,0,38873,417376
91698000,3,1,1,1,1,0,1,0,0,1,0,38873,418376
91699000,3,1,1,1,1,0,1,0,0,1,0,38873,419376
91700000,3,1,1,1,1,0,1,0,0,1,0,38873,420376
91701000,3,1,1,1,1,0,1,0,0,1,0,38873,421376
91702000,3,1,1,1,1,0,1,0,0,1,0,38873,422376
91703000,3,1,1,1,1,0,1,0,0,1,0,38873,423376
91704000,3,1,1,1,1,0,1,0,0,1,0,38873,424376
91705000,3,1,1,1,1,0,1,0,0,1,0,38873,425376
91706000,3,1,1,1,1,0,1,0,0,1,0,38873,426376
91707000,3,1,1,1,1,0,1,0,0,1,0,38873,427376
91708000,3,1,1,1,1,0,1,0,0,1,0,38873,428376
91709000,3,1,1,1,1,0,1,0,0,1,0,38873,429376
91710000,3,1,1,1,1,0,1,0,0,1,0,38873,430376
91711000,3,1,1,1,1,0,1,0,0,1,0,38873,431376
91712000,3,1,1,1,1,0,1,0,0,1,0,38873,432376
91713000,3,1,1,1,1,0,1,0,0,1,0,38873,433376
91714000,3,1,1,1,1,0,1,0,0,1,0,38873,434376
91715000,3,1,1,1,1,0,1,0,0,1,0,38873,435376
91716000,3,1,1,1,1,0,1,0,0,1,0,38873,436376
91717000,3,1,1,1,1,0,1,0,0,1,0,38873,437376
