iTOW,ecefX,ecefY,ecefZ,pAcc
91661000,-241820735,538576455,240576706,349
91662000,-241820717,538576534,240576593,343
91663000,-241820680,538576596,240576501,338
91664000,-241820614,538576620,240576463,334
91665000,-241820548,538576585,240576472,333
91666000,-241820532,538576570,240576489,332
91667000,-241820528,538576565,240576493,334
91668000,-241820533,538576554,240576491,339
91669000,-241820522,538576547,240576490,339
91670000,-241820513,538576541,240576488,342
91671000,-241820507,538576543,240576489,342
91672000,-241820504,538576562,240576495,342
91673000,-241820513,538576585,240576503,340
91674000,-241820516,538576595,240576507,339
91675000,-241820523,538576611,240576513,338
91676000,-241820530,538576630,240576520,336
91677000,-241820536,538576648,240576527,334
91678000,-241820546,538576671,240576535,332
91679000,-241820558,538576695,240576544,331
91680000,-241820556,538576704,240576547,329
91681000,-241820557,538576718,240576553,328
91682000,-241820562,538576734,240576561,327
91683000,-241820564,538576743,240576566,325
91684000,-241820570,538576752,240576570,325
91685000,-241820576,538576762,240576574,325
91686000,-241820575,538576765,240576575,325
91687000,-241820576,538576776,240576581,324
91688000,-241820579,538576791,240576589,323
91689000,-241820583,538576808,240576598,322
91690000,-241820587,538576825,240576608,321
91691000,-241820592,538576843,240576619,320
91692000,-241820595,538576857,240576628,319
91693000,-241820599,538576872,240576636,319
91694000,-241820603,538576887,240576644,318
91695000,-241820609,538576904,240576654,317
91696000,-241820609,538576911,240576659,316
91697000,-241820616,538576928,240576667,315
91698000,-241820623,538576942,240576675,315
91699000,-241820628,538576951,240576679,314
91700000,-241820632,538576960,240576684,313
91701000,-241820637,538576971,240576689,313
91702000,-241820643,538576984,240576695,312
91703000,-241820650,538576999,240576703,311
91704000,-241820658,538577015,240576710,311
91705000,-241820665,538577032,240576719,310
91706000,-241820665,538577039,240576723,308
91707000,-241820667,538577052,240576731,306
91708000,-241820671,538577067,240576740,304
91709000,-241820677,538577084,240576748,303
91710000,-241820681,538577097,240576756,301
91711000,-241820680,538577103,240576761,299
91712000,-241820681,538577110,240576767,297
91713000,-241820682,538577118,240576773,296
91714000,-241820681,538577121,240576776,294
91715000,-241820683,538577129,240576782,292
91716000,-241820686,538577137,240576787,291
91717000,-241820684,538577140,240576790,289
