msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,49,58,12,27,21,69,414,14,0,0,29,0
1,1,51,58,12,27,21,69,415,14,0,0,29,0
1,1,51,58,12,27,21,69,416,14,0,0,29,0
1,1,51,58,12,27,21,69,417,14,0,0,29,0
1,1,52,58,12,27,21,69,418,14,0,0,28,0
1,1,53,58,12,27,21,69,419,14,0,0,30,0
1,1,52,58,12,27,21,69,420,14,0,0,31,0
1,1,53,58,12,27,21,69,421,14,0,0,32,0
1,1,52,58,12,27,21,69,422,14,0,0,32,0
1,1,50,58,12,27,21,69,423,14,0,0,30,0
1,1,51,58,12,27,21,69,424,14,0,0,30,0
1,1,53,58,12,27,21,69,425,14,0,0,27,0
1,1,51,58,12,27,21,69,426,14,0,0,31,0
1,1,52,58,12,27,21,69,427,14,0,0,30,0
1,1,51,58,12,27,21,69,428,14,0,0,29,0
1,1,51,58,12,27,21,69,429,14,0,0,31,0
1,1,50,58,12,27,21,69,430,14,0,0,30,0
1,1,51,58,12,27,21,69,431,14,0,0,29,0
1,1,50,58,12,27,21,69,432,14,0,0,30,0
1,1,50,58,12,27,21,69,433,14,0,0,30,0
1,1,49,58,12,27,21,69,434,14,0,0,31,0
1,1,51,58,12,27,21,69,435,14,0,0,30,0
1,1,50,58,12,27,21,69,436,14,0,0,30,0
1,1,48,58,12,27,21,69,437,14,0,0,30,0
