iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
91494000,0,1,1,1171368248954360692736,0.5884591341018677,-0.12922444939613342,0.052222274243831635,0.9953063726425171,0.06934107095003128,7.180878639221191,0.0048271482810378075,-0.00033505819737911224,0.0026679050642997026,0.010045891627669334,-0.0006510778330266476,0.04390014708042145
91495000,0,1,1,1171368248954360692736,0.5832759737968445,-0.1263173222541809,0.05777566134929657,0.9930570125579834,0.07074668258428574,7.123743057250977,0.005003664176911116,2.0873150788247585e-05,0.002936646342277527,0.011752650141716003,0.00023129954934120178,0.04517614468932152
91496000,0,1,1,1171368248954360692736,0.5796440243721008,-0.12412062287330627,0.06364907324314117,0.9932947158813477,0.06588613986968994,7.0888166427612305,0.0060363830998539925,-0.0002879002131521702,0.002376446034759283,0.013131455518305302,-0.0009450837969779968,0.04917912185192108
91497000,0,1,1,1171368248954360692736,0.5774422883987427,-0.12252263724803925,0.07072374224662781,0.996724009513855,0.05860161781311035,7.0763983726501465,0.00624964339658618,-0.0001899205381050706,0.002856998238712549,0.014210100285708904,-0.001028615515679121,0.052542079240083694
91498000,0,1,1,1171368248954360692736,0.5746152400970459,-0.12090340256690979,0.07731424272060394,0.999190092086792,0.05122377723455429,7.056093692779541,0.005600515753030777,-0.00034145452082157135,0.002633228898048401,0.013171596452593803,-0.0011244751513004303,0.049363795667886734
91499000,0,1,1,1171368248954360692736,0.5710615515708923,-0.11933296918869019,0.08304110169410706,1.0005650520324707,0.04541046917438507,7.032249927520752,0.00546016963198781,-0.0003254120238125324,0.00255405786447227,0.012604610063135624,-0.0008350636344403028,0.047831736505031586
91500000,0,1,1,1171368248954360692736,0.5670764446258545,-0.11765608191490173,0.08821813762187958,0.9996991753578186,0.0412323921918869,7.003167152404785,0.0046662837266922,-0.0005201655440032482,0.002613280201330781,0.011248305439949036,-0.0008581648580729961,0.04513406381011009
91501000,0,1,1,1171368248954360692736,0.5628584027290344,-0.11624148488044739,0.0929957702755928,0.9983780980110168,0.036554887890815735,6.971922874450684,0.004965252708643675,-0.0004999574739485979,0.0026567326858639717,0.011459216475486755,-0.001147788017988205,0.044582609087228775
91502000,0,1,1,1171368248954360692736,0.5582630634307861,-0.11418067663908005,0.0965312123298645,0.99614417552948,0.03713471442461014,6.926183223724365,0.004763386212289333,-0.00023640843573957682,0.0029023662209510803,0.011078919284045696,7.254071533679962e-06,0.04212078079581261
91503000,0,1,1,1171368248954360692736,0.554628849029541,-0.11211112886667252,0.10111725330352783,0.9939746856689453,0.03675352782011032,6.885376453399658,0.005515528377145529,-0.00033342873211950064,0.002636330435052514,0.01141594909131527,-0.0004117863718420267,0.04257402569055557
